Contract Name,Contract Address,Gas Used,Fee (Wei),Fee (ETH),Chain,Chain ID,Deployment Name,Deployed At
ComptrollerLib,0xffE2E601a0f333331DB40f718bCd01d916153369,5167988,498557409604268,0.000498557409604268,ETHEREUM,1,ethereum-deployment,2025-11-08T09:45:26.841Z
AaveV2ATokenListOwner,0x918D3357082C2505024f83beF837A38BC6D7395a,525812,52535064729308,0.000052535064729308,ETHEREUM,1,ethereum-deployment,2025-11-08T09:45:41.954Z
ArbitraryLoanTotalNominalDeltaOracleModule,0x1475a334F8A745ab79F9DF109B0678B90496B0b9,665164,65799878687560,0.00006579987868756,ETHEREUM,1,ethereum-deployment,2025-11-08T09:45:52.641Z
AssetValueCalculator,0xeCc3056759Bf20E61e7e4C9818242d0b1bbb40c3,246725,23976885755525,0.000023976885755525,ETHEREUM,1,ethereum-deployment,2025-11-08T09:46:07.417Z
ChainlinkLikeWstethPriceFeed,0xBC82bCB0506Ea986cEadB64f19Dede88B993bA53,261321,25030350280962,0.000025030350280962,ETHEREUM,1,ethereum-deployment,2025-11-08T09:46:13.809Z
ChainlinkLikeYnEthPriceFeed,0x25398a359C0491DCE581cF2EB9079a4124c82807,254193,23824488034140,0.00002382448803414,ETHEREUM,1,ethereum-deployment,2025-11-08T09:46:28.411Z
CompoundPriceFeed,0xf610F6AA479A94AcC6082a0D9B39f62b1a56db6F,559956,51121853287332,0.000051121853287332,ETHEREUM,1,ethereum-deployment,2025-11-08T09:46:38.899Z
CompoundV3CTokenListOwner,0x24C5E0E96d0bDe3111C10Df8C94e39dE086EBC16,583837,52475172059221,0.000052475172059221,ETHEREUM,1,ethereum-deployment,2025-11-08T09:47:01.873Z
ConvertedQuoteAggregatorFactory,0x5cD766F277a34243e17A0F7D32e56705DD45224B,739280,70051559445200,0.0000700515594452,ETHEREUM,1,ethereum-deployment,2025-11-08T09:47:16.838Z
EnzymeVaultPriceFeed,0x726cED0928A6EEeb07b93081b285af8f9BD91063,370408,35895808125088,0.000035895808125088,ETHEREUM,1,ethereum-deployment,2025-11-08T09:47:27.730Z
EnzymeV4VaultAdapter,0xBeF9C5D05C55d5845B2d40179DD8e45B602f474a,1312534,136730453440590,0.00013673045344059,ETHEREUM,1,ethereum-deployment,2025-11-08T09:47:38.958Z
ERC4626Adapter,0x99d8635b17C6F33B78bF9c254E3fDF05B6fE4e85,1139788,119731825220176,0.000119731825220176,ETHEREUM,1,ethereum-deployment,2025-11-08T09:47:49.713Z
ERC4626PriceFeed,0xA407F7e1861C8E20202871eb78CB3716b2868742,301871,30734612488830,0.00003073461248883,ETHEREUM,1,ethereum-deployment,2025-11-08T09:48:04.471Z
ERC4626RateAggregatorFactory,0x620000700F0Ad323Db39D78E03Ae89446CD0DFDC,972272,104339375513632,0.000104339375513632,ETHEREUM,1,ethereum-deployment,2025-11-08T09:48:16.291Z
EtherFiEthPriceFeed,0xa5C825e2a480Fa8dda36D6f8C51B45432eC6A371,203783,22256319907089,0.000022256319907089,ETHEREUM,1,ethereum-deployment,2025-11-08T09:48:26.719Z
FundDataProviderRouter,0x238637960d789ee0fF2299d1F596a3CE7B1Cb59d,346971,37980006018165,0.000037980006018165,ETHEREUM,1,ethereum-deployment,2025-11-08T09:48:41.740Z
GatedRedemptionQueueSharesWrapperLib,0x807261632f6A87Ae78fD76d2cd25489d8179F9af,5445126,612967030637814,0.000612967030637814,ETHEREUM,1,ethereum-deployment,2025-11-08T09:48:53.311Z
GatedRedemptionQueueSharesWrapperFactory,0xd16025049Ed016185744bc37fbb9764480bdA58C,1055020,128175251246520,0.00012817525124652,ETHEREUM,1,ethereum-deployment,2025-11-08T09:49:03.888Z
PeggedDerivativesPriceFeed,0xa8e2238e8CA085fC8De8B38624e86d74052b6F98,757245,94432729934250,0.00009443272993425,ETHEREUM,1,ethereum-deployment,2025-11-08T09:49:14.768Z
PeggedRateDeviationAggregatorFactory,0x21b3F6F4F296415E1d0225790D001366965F35DE,962595,116833718676690,0.00011683371867669,ETHEREUM,1,ethereum-deployment,2025-11-08T09:49:29.984Z
SharePriceThrottledAssetManagerLib,0xb899002cB6b1BD273Fb6d5cC14F16d7D67f9938B,856933,94883759889457,0.000094883759889457,ETHEREUM,1,ethereum-deployment,2025-11-08T09:49:53.013Z
SharePriceThrottledAssetManagerFactory,0x907Bd976311cD49a3b27ED2c463390c2062FE4C8,445808,52676498969072,0.000052676498969072,ETHEREUM,1,ethereum-deployment,2025-11-08T09:50:03.802Z
SharesSplitterFactory,0x7a8D6df633609fc4d830DDe9e803A15f9f37Eb9B,1390859,160553914370284,0.000160553914370284,ETHEREUM,1,ethereum-deployment,2025-11-08T09:50:15.021Z
SingleAssetDepositQueueLib,0x73F6f008938C25F75429978e7Ff1Ec22f05F4305,1943640,223646839423560,0.00022364683942356,ETHEREUM,1,ethereum-deployment,2025-11-08T09:50:25.845Z
SingleAssetRedemptionQueueLib,0x68380f904628aba923b8af01aA31B86e2fd54C30,1503129,171165523022490,0.00017116552302249,ETHEREUM,1,ethereum-deployment,2025-11-08T09:50:40.708Z
SingleAssetRedemptionQueueFactory,0xF13A764De773Ea015D7CC088AcfbEC021807AaFb,460632,50861154888432,0.000050861154888432,ETHEREUM,1,ethereum-deployment,2025-11-08T09:50:51.039Z
SmarDexUsdnNativeRateUsdAggregator,0x10eE1e8Ed4D3210BEfc10f08dc601b4cdc25617d,612726,68967343618638,0.000068967343618638,ETHEREUM,1,ethereum-deployment,2025-11-08T09:51:05.859Z
SolvBtcYieldTokenRateUsdAggregatorFactory,0x8e794401490160691d2a84eBBEEc623d7B3D6DC0,765810,85901713332120,0.00008590171333212,ETHEREUM,1,ethereum-deployment,2025-11-08T09:51:16.656Z
StaderSDPriceFeed,0x97D1b9e6BeF1241c6A6EA6358d4f28C3B970140e,311526,31622322641112,0.000031622322641112,ETHEREUM,1,ethereum-deployment,2025-11-08T09:51:39.707Z
UniswapV2PoolPriceFeed,0x3f348FC9C71DfD6feae6876aBdFeB2899808f998,1536704,159910118977024,0.000159910118977024,ETHEREUM,1,ethereum-deployment,2025-11-08T09:51:50.439Z
UsdEthSimulatedAggregator,0x4f1e7059c043F2B5FdCc0C0d868380782fa9397a,142246,15177042516532,0.000015177042516532,ETHEREUM,1,ethereum-deployment,2025-11-08T09:52:05.125Z
YearnVaultV2PriceFeed,0x1834c95f5b4dE2379F54d1B11BD3e6060459c59c,973367,108155551560758,0.000108155551560758,ETHEREUM,1,ethereum-deployment,2025-11-08T09:53:14.531Z
AaveV3FlashLoanAssetManagerFactory,0x6A241e7A6bF6631Bb15838960c12e1aa0C79aB38,767417,88670080673265,0.000088670080673265,ETHEREUM,1,ethereum-deployment,2025-11-08T09:53:29.662Z
SingleAssetDepositQueueFactory,0x2620cb74EB2ae3652fE20f59b5CECdEe41c68929,767417,88560696123753,0.000088560696123753,ETHEREUM,1,ethereum-deployment,2025-11-08T09:53:40.237Z
